"name";"var_id";"name";"units";"friendly_name";"value";"ts";"name";"lat";"lng";"elev"
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;38.3;2023-03-03 00:14:33.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;39.3;2023-03-03 00:54:57.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;39.6;2023-03-03 01:25:10.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;39.5;2023-03-03 01:34:32.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;40.2;2023-03-03 01:54:33.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;40.9;2023-03-03 02:15:02.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;41.2;2023-03-03 02:34:38.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;41.3;2023-03-03 02:44:55.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;40.5;2023-03-03 02:55:06.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;41.2;2023-03-03 03:04:48.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;41.7;2023-03-03 03:15:19.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;42.2;2023-03-03 03:24:33.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;41.4;2023-03-03 03:34:38.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;41.8;2023-03-03 03:54:56.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;42.5;2023-03-03 04:04:37.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;42.0;2023-03-03 04:25:12.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;42.2;2023-03-03 04:35:07.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;42.3;2023-03-03 04:44:32.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;42.7;2023-03-03 04:54:49.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;42.6;2023-03-03 05:24:33.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;42.8;2023-03-03 05:34:55.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;43.5;2023-03-03 05:44:40.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;43.6;2023-03-03 05:54:36.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;43.5;2023-03-03 06:05:06.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;42.8;2023-03-03 06:14:47.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;42.1;2023-03-03 06:24:42.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;42.3;2023-03-03 06:34:43.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;42.6;2023-03-03 06:44:58.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;42.8;2023-03-03 06:55:01.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;40.6;2023-03-03 07:14:29.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;39.8;2023-03-03 07:24:41.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;40.7;2023-03-03 07:34:44.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;40.1;2023-03-03 07:44:33.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;39.9;2023-03-03 07:55:11.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;40.1;2023-03-03 08:14:48.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;40.0;2023-03-03 08:24:39.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;39.9;2023-03-03 08:34:57.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;39.1;2023-03-03 08:45:35.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;39.7;2023-03-03 08:54:52.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;40.1;2023-03-03 09:05:00.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;37.8;2023-03-03 09:14:42.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;37.4;2023-03-03 09:24:39.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;37.5;2023-03-03 10:15:33.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;35.4;2023-03-03 10:36:39.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;30.5;2023-03-03 11:55:11.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;29.4;2023-03-03 12:35:37.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;30.2;2023-03-03 12:45:05.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;30.6;2023-03-03 13:44:33.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;56.6;2023-03-03 17:55:18.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;55.7;2023-03-03 18:35:44.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;55.1;2023-03-03 18:45:35.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;54.1;2023-03-03 19:05:07.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;54.5;2023-03-03 19:14:58.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;52.9;2023-03-03 19:25:06.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;53.0;2023-03-03 19:34:34.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;53.8;2023-03-03 19:44:50.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;54.7;2023-03-03 19:55:09.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;58.2;2023-03-03 20:05:09.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
